Opportunity_ID,Target
10689,1
10690,1
10691,1
10692,0
10693,1
10694,1
10695,1
10696,1
10697,1
10698,1
10699,1
10700,1
10701,1
10702,1
10703,1
10704,1
10705,1
10706,1
10707,0
10708,0
10709,1
10710,0
10711,0
10712,1
10713,0
10714,1
10715,1
10716,1
10717,0
10718,1
10719,1
10720,0
10721,1
10722,1
10723,1
10724,1
10725,1
10726,1
10727,0
10728,1
10729,0
10730,1
10731,1
10732,1
10733,1
10734,0
10735,1
10736,1
10737,1
10738,1
10739,1
10740,0
10741,1
10742,1
10743,1
10744,1
10745,1
10746,1
10747,1
10748,1
10749,1
10750,0
10751,0
10752,0
10753,1
10754,1
10755,1
10756,1
10757,1
10758,1
10759,1
10760,0
10761,1
10762,1
10763,1
10764,1
10765,0
10766,0
10767,1
10768,0
10769,1
10770,0
10771,1
10772,1
10773,1
10774,0
10775,0
10776,0
10777,1
10778,1
10779,1
10780,1
10781,1
10782,0
10783,0
10784,1
10785,0
10786,0
10787,1
10788,1
10789,1
10790,0
10791,1
10792,0
10793,1
10794,1
10795,1
10796,1
10797,1
10798,1
10799,1
10800,1
10801,0
10802,1
10803,0
10804,1
10805,0
10806,1
10807,0
10808,1
10809,1
10810,0
10811,1
10812,1
10813,0
10814,0
10815,1
10816,1
10817,0
10818,1
10819,1
10820,1
10821,1
10822,0
10823,1
10824,0
10825,1
10826,1
10827,1
10828,1
10829,1
10830,1
10831,1
10832,0
10833,0
10834,0
10835,1
10836,1
10837,1
10838,1
10839,1
10840,0
10841,1
10842,1
10843,1
10844,1
10845,1
10846,0
10847,0
10848,1
10849,1
10850,1
10851,0
10852,1
10853,1
10854,1
10855,1
10856,1
10857,1
10858,1
10859,0
10860,0
10861,0
10862,0
10863,0
10864,1
10865,1
10866,0
10867,0
10868,1
10869,0
10870,1
10871,1
10872,0
10873,0
10874,1
10875,1
10876,1
10877,1
10878,1
10879,0
10880,0
10881,1
10882,0
10883,1
10884,1
10885,1
10886,1
10887,0
10888,1
10889,1
10890,1
10891,1
10892,1
10893,1
10894,1
10895,1
10896,0
10897,0
10898,0
10899,0
10900,1
10901,1
10902,0
10903,0
10904,1
10905,1
10906,1
10907,1
10908,0
10909,1
10910,1
10911,1
10912,1
10913,1
10914,1
10915,1
10916,1
10917,0
10918,1
10919,0
10920,1
10921,1
10922,1
10923,1
10924,1
10925,1
10926,1
10927,1
10928,1
10929,1
10930,1
10931,1
10932,1
10933,1
10934,1
10935,1
10936,1
10937,0
10938,0
10939,1
10940,1
10941,1
10942,1
10943,1
10944,0
10945,0
10946,1
10947,1
10948,0
10949,1
10950,1
10951,1
10952,1
10953,0
10954,1
10955,0
10956,0
10957,0
10958,0
10959,0
10960,1
10961,1
10962,1
10963,0
10964,1
10965,0
10966,1
10967,1
10968,0
10969,1
10970,0
10971,1
10972,0
10973,0
10974,0
10975,1
10976,1
10977,1
10978,1
10979,1
10980,1
10981,1
10982,0
10983,0
10984,0
10985,0
10986,0
10987,0
10988,1
10989,0
10990,0
10991,0
10992,0
10993,1
10994,0
10995,0
10996,0
10997,0
10998,1
10999,1
11000,0
11001,0
11002,1
11003,1
11004,1
11005,0
11006,1
11007,1
11008,0
11009,1
11010,1
11011,1
