Opportunity_ID,Target
10689,0
10690,0
10691,0
10692,0
10693,0
10694,0
10695,0
10696,0
10697,0
10698,0
10699,0
10700,0
10701,0
10702,0
10703,0
10704,0
10705,0
10706,1
10707,1
10708,0
10709,0
10710,0
10711,0
10712,1
10713,0
10714,0
10715,0
10716,0
10717,0
10718,0
10719,1
10720,0
10721,0
10722,0
10723,0
10724,0
10725,0
10726,0
10727,0
10728,0
10729,0
10730,0
10731,0
10732,0
10733,0
10734,0
10735,0
10736,0
10737,0
10738,0
10739,0
10740,0
10741,0
10742,0
10743,0
10744,0
10745,0
10746,0
10747,0
10748,0
10749,0
10750,0
10751,0
10752,0
10753,0
10754,1
10755,0
10756,1
10757,1
10758,1
10759,0
10760,1
10761,1
10762,0
10763,0
10764,1
10765,0
10766,1
10767,1
10768,0
10769,1
10770,0
10771,0
10772,1
10773,1
10774,1
10775,1
10776,0
10777,1
10778,1
10779,1
10780,1
10781,1
10782,0
10783,0
10784,1
10785,0
10786,0
10787,0
10788,0
10789,1
10790,0
10791,0
10792,1
10793,0
10794,0
10795,1
10796,1
10797,1
10798,1
10799,0
10800,0
10801,1
10802,0
10803,1
10804,1
10805,0
10806,1
10807,0
10808,0
10809,0
10810,0
10811,1
10812,1
10813,0
10814,1
10815,0
10816,0
10817,0
10818,1
10819,0
10820,1
10821,1
10822,0
10823,1
10824,1
10825,1
10826,0
10827,1
10828,1
10829,1
10830,1
10831,1
10832,1
10833,0
10834,1
10835,0
10836,1
10837,1
10838,1
10839,1
10840,0
10841,1
10842,1
10843,1
10844,1
10845,1
10846,0
10847,0
10848,0
10849,1
10850,1
10851,0
10852,1
10853,1
10854,0
10855,1
10856,0
10857,0
10858,1
10859,0
10860,1
10861,0
10862,0
10863,0
10864,1
10865,1
10866,0
10867,0
10868,1
10869,0
10870,0
10871,1
10872,1
10873,0
10874,1
10875,1
10876,1
10877,1
10878,0
10879,0
10880,0
10881,1
10882,0
10883,0
10884,0
10885,1
10886,1
10887,0
10888,1
10889,1
10890,1
10891,1
10892,1
10893,1
10894,1
10895,1
10896,1
10897,1
10898,0
10899,0
10900,1
10901,1
10902,1
10903,0
10904,1
10905,1
10906,0
10907,0
10908,0
10909,1
10910,0
10911,1
10912,1
10913,1
10914,1
10915,1
10916,1
10917,1
10918,1
10919,0
10920,1
10921,1
10922,1
10923,1
10924,1
10925,1
10926,1
10927,1
10928,1
10929,0
10930,0
10931,1
10932,1
10933,1
10934,1
10935,0
10936,1
10937,0
10938,0
10939,1
10940,1
10941,0
10942,0
10943,0
10944,0
10945,0
10946,1
10947,1
10948,0
10949,1
10950,0
10951,1
10952,1
10953,0
10954,1
10955,0
10956,0
10957,0
10958,0
10959,0
10960,0
10961,0
10962,0
10963,1
10964,1
10965,0
10966,1
10967,1
10968,0
10969,1
10970,0
10971,0
10972,1
10973,1
10974,0
10975,1
10976,1
10977,1
10978,1
10979,0
10980,1
10981,0
10982,1
10983,1
10984,1
10985,0
10986,1
10987,1
10988,1
10989,0
10990,1
10991,0
10992,0
10993,1
10994,1
10995,0
10996,0
10997,0
10998,1
10999,1
11000,0
11001,0
11002,0
11003,1
11004,0
11005,0
11006,0
11007,1
11008,0
11009,0
11010,1
11011,0
11012,1
11013,1
11014,1
11015,0
11016,0
11017,1
11018,0
11019,1
11020,0
11021,1
11022,0
11023,1
11024,0
11025,1
11026,1
11027,1
11028,0
11029,1
11030,1
11031,1
11032,0
11033,1
11034,0
11035,1
11036,1
11037,1
11038,0
11039,0
11040,1
11041,0
11042,1
11043,1
11044,0
11045,1
11046,1
11047,1
11048,1
11049,0
11050,0
11051,1
11052,0
11053,0
11054,1
11055,0
11056,0
11057,0
11058,0
11059,0
11060,0
11061,0
11062,0
11063,1
11064,1
11065,1
11066,0
11067,1
11068,0
11069,1
11070,1
11071,1
11072,1
11073,1
11074,0
11075,1
11076,0
11077,1
11078,0
11079,0
11080,1
11081,1
11082,0
11083,0
11084,0
11085,0
11086,1
11087,1
11088,0
11089,0
11090,0
11091,1
11092,1
11093,1
11094,1
11095,1
11096,1
11097,0
11098,0
11099,0
11100,0
11101,0
11102,1
11103,0
11104,1
11105,0
11106,0
11107,1
11108,1
11109,1
11110,1
11222,1
11223,1
11224,1
11225,1
11226,1
11227,0
11228,1
11229,1
11230,1
11231,1
11232,1
11233,1
11234,1
11235,0
11236,1
11237,0
11238,1
11239,1
11240,0
11241,1
11242,1
11243,0
11244,0
11245,1
11246,0
11247,0
11248,0
11249,1
11250,1
11251,1
11252,1
11253,0
11254,1
11255,1
11256,1
11257,0
11258,0
11259,1
11260,1
11261,1
11262,1
11263,1
11264,1
11265,0
11266,0
11267,1
11268,1
11269,0
11270,0
11271,0
11272,1
11273,1
11274,1
11275,1
11276,1
11277,1
11278,0
11279,0
11280,0
11281,1
11282,1
11283,0
11284,1
11285,0
11286,0
11287,1
11288,0
11289,0
11290,0
11291,0
11292,0
11293,1
11294,0
11295,1
11296,0
11297,0
11298,0
11299,1
11300,0
11301,1
11302,1
11303,0
11304,1
11305,0
11306,0
